KEGG ID,InChIKey,InChIKey14
C11681,BXTHVTLKWJZGAA-YFROIQMUSA-N,BXTHVTLKWJZGAA
C11038,RQKDPSTWKKMBPM-XLPZGREQSA-N,RQKDPSTWKKMBPM
C11039,DLHNIFPAUZVLLA-XLPZGREQSA-N,DLHNIFPAUZVLLA
C06512,MLNXJBWXCQOCIN-URLMMPGGSA-N,MLNXJBWXCQOCIN
C09774,PQWHNGRYDDJGPN-UHFFFAOYSA-N,PQWHNGRYDDJGPN
C03568,SGNZKKOMSOPYFR-KQYNXXCUSA-N,SGNZKKOMSOPYFR
C11569,ZSVXKCSZMLMPBW-UHFFFAOYSA-N,ZSVXKCSZMLMPBW
C03210,FIOHTMQGSFVHEZ-UHFFFAOYSA-N,FIOHTMQGSFVHEZ
C09003,MCQWYGYDCGLCJD-UHFFFAOYSA-N,MCQWYGYDCGLCJD
C03972,CXMBCXQHOXUCEO-BYPYZUCNSA-N,CXMBCXQHOXUCEO
C04104,PDGXJDXVGMHUIR-UHFFFAOYSA-N,PDGXJDXVGMHUIR
C10922,JLVSRWOIZZXQAD-UHFFFAOYSA-N,JLVSRWOIZZXQAD
C11823,,
C11128,OTPRLPCKQDZVGR-UHFFFAOYSA-N,OTPRLPCKQDZVGR
C09974,FHAMKLIXDLEUPK-UHFFFAOYSA-N,FHAMKLIXDLEUPK
C02111,,
C06201,APNIDHDQYISZAE-UHFFFAOYSA-N,APNIDHDQYISZAE
C11006,RMBFBMJGBANMMK-UHFFFAOYSA-N,RMBFBMJGBANMMK
C05923,CRXOALRUOMUPMC-UMMCILCDSA-N,CRXOALRUOMUPMC
C11040,YOYAIZYFCNQIRF-UHFFFAOYSA-N,YOYAIZYFCNQIRF
C00102,CCBICDLNWJRFPO-UHFFFAOYSA-N,CCBICDLNWJRFPO
C03822,CVSUAFOWIXUYQA-UHFFFAOYSA-M,CVSUAFOWIXUYQA
C11041,KGKGSIUWJCAFPX-UHFFFAOYSA-N,KGKGSIUWJCAFPX
C06207,CROCAQYJJNCZQH-UHFFFAOYSA-N,CROCAQYJJNCZQH
C10787,KLIDCXVFHGNTTM-UHFFFAOYSA-N,KLIDCXVFHGNTTM
C11008,XTRDKALNCIHHNI-UHFFFAOYSA-N,XTRDKALNCIHHNI
C08742,BUJOWQKLLDUNTC-UHFFFAOYSA-N,BUJOWQKLLDUNTC
C11570,YYYQPKTVZBOSKG-UHFFFAOYSA-N,YYYQPKTVZBOSKG
C11561,SPTYBDFZJXCPIT-UHFFFAOYSA-N,SPTYBDFZJXCPIT
C08485,ZQBJPQZBIGVILA-UHFFFAOYSA-N,ZQBJPQZBIGVILA
C05125,RRUVJGASJONMDY-UHFFFAOYSA-O,RRUVJGASJONMDY
C00659,VUQLHQFKACOHNZ-UHFFFAOYSA-N,VUQLHQFKACOHNZ
C11260,UXFQFBNBSPQBJW-UHFFFAOYSA-N,UXFQFBNBSPQBJW
C04409,KACPVQQHDVBVFC-OIFXTYEKSA-N,KACPVQQHDVBVFC
C05825,KSIJECNNZVKMJG-UHFFFAOYSA-M,KSIJECNNZVKMJG
C01655,WCNLOVDQFDDWLB-QYYRPYCUSA-N,WCNLOVDQFDDWLB
C00939,ZDTFMPXQUSBYRL-UUOKFMHZSA-N,ZDTFMPXQUSBYRL
C06333,ZMCHBSMFKQYNKA-UHFFFAOYSA-N,ZMCHBSMFKQYNKA
C07279,BWJNQNUSFBJWOA-UHFFFAOYSA-N,BWJNQNUSFBJWOA
C05683,BGUPNWPPECTFDP-HZAMXZRMSA-N,BGUPNWPPECTFDP
C10898,JJWCTKUQWXYIIU-UHFFFAOYSA-N,JJWCTKUQWXYIIU
C08736,YDHNHFNGJCKAIZ-UHFFFAOYSA-N,YDHNHFNGJCKAIZ
C11582,ADODRSVGNHNKAT-UHFFFAOYSA-N,ADODRSVGNHNKAT
C03826,UQIGQRSJIKIPKZ-VKHMYHEASA-N,UQIGQRSJIKIPKZ
C03980,UBXDUQZBZKTGSW-FPRJBGLDSA-N,UBXDUQZBZKTGSW
C03828,LUFBHSYJRTVRIJ-JDCCYXBGSA-N,LUFBHSYJRTVRIJ
C05835,ZGQVEYFFYPOUKD-UHFFFAOYSA-N,ZGQVEYFFYPOUKD
C05801,LXZAKEGPNJYZBT-LSRIWWPWSA-N,LXZAKEGPNJYZBT
C05802,WVPRAWNIVDFQBO-DUBIXASGSA-N,WVPRAWNIVDFQBO
C05800,SWYAYSXDWCPYPJ-DUBIXASGSA-N,SWYAYSXDWCPYPJ
C00596,VHTQQDXPNUTMNB-ONEGZZNKSA-N,VHTQQDXPNUTMNB
C11353,XZOBUTBZRFDQBU-ARJAWSKDSA-N,XZOBUTBZRFDQBU
C07718,MZXLUQGYWMMWCS-WFMPKDELSA-N,MZXLUQGYWMMWCS
C07725,XWPYRLHJCKHRRG-JZKFVHIFSA-N,XWPYRLHJCKHRRG
C07731,MWGXDZHCLRMDFE-TZFLZTJBSA-N,MWGXDZHCLRMDFE
C07123,UYUFTVIQTSWWST-QVXLNCAUSA-N,UYUFTVIQTSWWST
C07087,BJIODCHLKBGSCT-BZDQXIRASA-N,BJIODCHLKBGSCT
C11354,VPGPQVKJUYKKNN-AWYLAFAOSA-N,VPGPQVKJUYKKNN
C05984,AFENDNXGAFYKQO-UHFFFAOYSA-N,AFENDNXGAFYKQO
